DATE,LOCATION,LAT,LONG,Agama pictuada,Basiliscus vittatus
7/24/2019,130th Canal,25.63485,-80.49743,,1
3/11/2019,152 St/Pizza Hut,25.62905,-80.34014,1,
3/30/2019,177 Ave/248 St,25.53657,-80.47858,1,
2/9/2019,184th St,25.59919,-80.34032,1,
2/20/2019,24th St near Tamiami Park,25.74824,-80.3206,1,
4/23/2019,42 st/ 162 Ave,25.72788,-80.456,,1
2/28/2019,64th St canal,25.71113,-80.29938,,1
2/15/2019,72 ST/ 821 Canal,25.70202,-80.38422,,1
2/23/2019,826 Canal,25.79368,-80.32066,,1
7/5/2019,Amelia Earhart,25.883336,-80.27086,,1
2/15/2019,Ben Gamla Charter School,25.66498,-80.37402,1,
1/18/2019,Bill Sadowski Park,25.6088,-80.31977,,1
3/12/2019,Black Point Park,25.54042,-80.32801,,1
2/23/2019,Blue Lagoon,25.78344,-80.28069,,1
3/12/2019,By Lakes by the Bay,25.56399,-80.3317,,1
2/24/2019,By snapper creek park,25.69753,-80.35782,,1
7/3/2019,Canal near BNP,25.46312303,-80.34657,,1
3/14/2019,Canal/Ingram highway ENP,25.40815,-80.52384,,1
3/14/2019,Card Sound USGS,25.4334,-80.47297,,1
2/9/2019,Chapman Park,25.64529,-80.29227,1,
2/28/2019,Coral Gables City Hall,25.74894,-80.26372,1,
2/22/2019,Coral Pine Park Canal,25.67431,-80.30927,,1
3/21/2019,Coral Reef Park,25.62982,-80.31763,,1
3/12/2019,Cutler Ridge Park,25.57815,-80.35262,1,
2/28/2019,Dadeland by Busway,25.68203,-80.31642,1,
3/14/2019,Falsuo Park,25.44095,-80.49154,1,
7/2/2019,Fuch's Park,25.6960487,-80.29889,1,1
7/5/2019,Greynolds Park,25.939712,-80.15319,,1
6/26/2019,Harris Field,26.49215,-80.21993,1,
7/3/2019,Homestead Bayfront county park,25.4619668,-80.33669,,1
7/16/2019,Homestead Sports Complex,25.45176846,-80.42557,,1
7/17/2019,Howard Drive Elementary School (Limestone wall nearby),25.646124,-80.31794,1,
2/20/2019,Krome Ave Canal,25.76086,-80.49772,,1
2/23/2019,Lake Mahar,25.77681,-80.30671,,1
4/25/2019,Leisure Lake,25.49503,-80.43275,1,
4/18/2019,Ludlam Rd Canal in Doral,25.83191,-80.3059,,1
4/11/2019,Mandarin Lakes K-8 Academy (by homestead airbase),25.50678,-80.38891,,1
7/17/2019,Marathon gas station by Monkey Jungle,25.566013,-80.42893,1,
2/22/2019,Matheson Canal,25.6644,-80.27697,,1
7/31/2019,Matheson Hammock Park,25.679387,-80.25682,1,
2/24/2019,Metro Path/Campus,25.70878,-80.28421,1,
7/22/2019,Miccosukee Golf Course,25.7114,-80.41696,1,2
4/11/2019,Naranja Park,25.52132,-80.42139,1,
2/23/2019,Northwest Dr. Canal,25.77225,-80.31473,,1
4/25/2019,Old Cutler Canal (south),25.55924,-80.35948,,1
4/11/2019,Palmland Park,25.4852,-80.43891,1,
3/21/2019,Park by Deering,25.61121,-80.30729,1,
7/18/2019,"Railroad, 216th St",25.565513,-80.46403,1,
3/12/2019,Redland Elementary,25.53694,-80.45355,1,
7/24/2019,Redland Fruit and Spice Park,25.53507,-80.49349,1,
3/14/2019,Robert is here,25.44759,-80.50227,1,
2/15/2019,Rock Ridge Park,25.66771,-80.38433,1,
5/4/2019,"Seminole Wayside Park, Homestead",25.49039,-80.45477,1,
7/18/2019,South Dade Park,25.506212,-80.45552,1,
7/17/2019,"Southland Mall, Regal parking lot",25.57654,-80.36697,1,
2/22/2019,St.Louis Covenant School Canal,25.65976,-80.31029,,1
7/23/2019,SW 107th canal,25.0085557,-80.51236,,1
2/20/2019,Tamiami Park,25.74688,-80.37618,,1
7/3/2019,Thalatta estate park,25.6100521,-80.30936,,1
2/20/2019,The Pit BBQ,25.76034,-80.4618,,1
4/8/2019,Toys R Us/ 117 Ave,25.68811,-80.38339,,1
2/20/2019,Tree Island Park,25.74671,-80.43027,,1
7/16/2019,Vizcaya,25.74328,-80.21112,,1
3/30/2019,Walgreens at 152 St/ 157 Ave,25.62654,-80.44726,1,
4/25/2019,William Randolph,25.555096,-80.38379,,1
