reclass,SITE,NAME_SITE,STATE,NAME_STATE,SiteCode7,StateCode7,FNAI_Specific,FNAI_STATE,NOTE
1,1110,Upland Hardwood Forest,1110,Upland Hardwood Forest,1110000,1100000,Upland Hardwood Forest,Hardwood Forested Uplands,
1,1111,Dry Upland Hardwood Forest,1110,Upland Hardwood Forest,1111000,1100000,Upland Hardwood Forest,Hardwood Forested Uplands,
1,1112,Mixed Hardwoods,1110,Upland Hardwood Forest,1112000,1100000,Hardwood Forested Uplands,Hardwood Forested Uplands,FNAI Rollup
1,1120,Mesic Hammock,1120,Mesic Hammock,1120000,1100000,Mesic Hammock,Hardwood Forested Uplands,
1,1122,Prairie Mesic Hammock,1120,Mesic Hammock,1122000,1100000,Mesic Hammock,Hardwood Forested Uplands,
1,1123,Live Oak,1120,Mesic Hammock,1123000,1100000,Hardwood Forested Uplands,Hardwood Forested Uplands,FNAI Rollup
1,1124,Pine - Mesic Oak,1120,Mesic Hammock,1124000,1100000,Hardwood Forested Uplands,Hardwood Forested Uplands,FNAI Rollup
1,1125,Cabbage Palm,1120,Mesic Hammock,1125000,1100000,Hardwood Forested Uplands,Hardwood Forested Uplands,FNAI Rollup
1,1130,Rockland Hammock,1130,Rockland Hammock,1130000,1130000,Rockland Hammock,Rockland Hammock,
1,1131,Thorn Scrub,1130,Rockland Hammock,1131000,1130000,Rockland Hammock,Rockland Hammock,
1,1140,Slope Forest,1140,Slope Forest,1140000,1100000,Slope Forest,Hardwood Forested Uplands,
1,1150,Xeric Hammock,1150,Xeric Hammock,1150000,1100000,Xeric Hammock,Hardwood Forested Uplands,
1,1200,High Pine and Scrub,1200,High Pine and Scrub,1200000,1200000,SEE NOTE,SEE NOTE,"Many FNAI types possible:  Ruderal, Pine Plantation, Mesic Flatwoods, Upland Pine, Sandhill, other"
1,1210,Scrub,1210,Scrub,1210000,1210000,Scrub,Scrub,
1,1211,Oak Scrub,1210,Scrub,1211000,1210000,Scrub,Scrub,
1,1212,Rosemary Scrub,1210,Scrub,1212000,1210000,Scrub,Scrub,
1,1213,Sand Pine Scrub,1213,Sand Pine Scrub,1213000,1210000,Scrub,Scrub,
1,1214,Coastal Scrub,1214,Coastal Scrub,1214000,1210000,Scrub,Scrub,
1,1220,Upland Mixed Woodland,1200,High Pine and Scrub,1220000,1200000,Upland Mixed Woodland,SEE NOTE,"Crosswalk should be to Upland Mixed Woodland but users of statewide data should be aware that this community is not mapped comprehensively statewide.  Upland Mixed Woodland is likely also classed with other types such as Mixed Upland Hardwood, Upland Hardwood Forest, etc."
1,1230,Upland Coniferous,1200,High Pine and Scrub,1230000,1200000,SEE NOTE,SEE NOTE,"Many FNAI types possible:  Ruderal, Pine Plantation, Mesic Flatwoods, Upland Pine, Sandhill, other"
1,1231,Upland Pine,1231,Upland Pine,1231000,1231000,Upland Pine,Upland Pine,
1,1240,Sandhill,1240,Sandhill,1240000,1240000,Sandhill,Sandhill,
1,1300,Pine Flatwoods and Dry Prairie,1300,Pine Flatwoods and Dry Prairie,1300000,1311000,Mesic Flatwoods,Mesic Flatwoods,
1,1310,Dry Flatwoods,1310,Dry Flatwoods,1310000,1311000,Mesic Flatwoods,Mesic Flatwoods,
1,1311,Mesic Flatwoods,1311,Mesic Flatwoods,1311000,1311000,Mesic Flatwoods,Mesic Flatwoods,
1,1312,Scrubby Flatwoods,1312,Scrubby Flatwoods,1312000,1312000,Scrubby Flatwoods,Scrubby Flatwoods,
1,1320,Pine Rockland,1320,Pine Rockland,1320000,1320000,Pine Rockland,Pine Rockland,
1,1330,Dry Prairie,1330,Dry Prairie,1330000,1330000,Dry Prairie,Dry Prairie,
1,1340,Palmetto Prairie,1340,Palmetto Prairie,1340000,1311000,Mesic Flatwoods,Mesic Flatwoods,
1,1400,Mixed Hardwood-Coniferous,1400,Mixed Hardwood-Coniferous,1400000,1400000,SEE NOTE,SEE NOTE,"Many FNAI types possible:  Successional Hardwood Forest, Upland Hardwood Forest, Mesic Hammock, Baygall, other "
1,1410,Successional Hardwood Forest,1400,Mixed Hardwood-Coniferous,1410000,1400000,Successional Hardwood Forest,Successional Hardwood Forest,
1,1500,Shrub and Brushland,1500,Shrub and Brushland,1500000,1500000,SEE NOTE,SEE NOTE,"Many FNAI types possible:  Ruderal, Mesic Flatwoods (treeless), Scrub, other"
1,1510,Other Shrubs and Brush,1500,Shrub and Brushland,1510000,1500000,SEE NOTE,SEE NOTE,"Many FNAI types possible:  Ruderal, Mesic Flatwoods (treeless), Scrub, other"
2,1600,Coastal Uplands,1600,Coastal Uplands,1600000,1600000,Coastal Uplands,Coastal Uplands,FNAI Rollup
2,1610,Beach Dune,1600,Coastal Uplands,1610000,1610000,Beach Dune,Beach Dune/Coastal Grassland,
2,1620,Coastal Berm,1600,Coastal Uplands,1620000,1600000,Coastal Berm,Coastal Uplands,
2,1630,Coastal Grassland,1600,Coastal Uplands,1630000,1610000,Coastal Grassland,Beach Dune/Coastal Grassland,
2,1640,Coastal Strand,1640,Coastal Strand,1640000,1640000,Coastal Strand,Coastal Strand,
2,1650,Maritime Hammock,1650,Maritime Hammock,1650000,1650000,Maritime Hammock,Maritime Hammock,
2,1660,Shell Mound,1600,Coastal Uplands,1660000,1650000,Shell Mound,Shell Mound,
2,1670,Sand Beach (Dry),1670,Sand Beach (Dry),1670000,1670000,Sand Beach,Sand Beach,The FNAI system refers to sand beach as 'Unconsolidated Substrate'.  We recommend that users retain the Sand Beach class.
3,1710,Sinkhole,1700,Barren and Outcrop Communities,1710000,1700000,Sinkhole,Sinkholes and Outcrop Communities,
3,1720,Upland Glade,1720,Upland Glade,1720000,1720000,Upland Glade,Upland Glade,
3,1740,Keys Cactus Barren,1700,Barren and Outcrop Communities,1740000,1700000,Keys Cactus Barren,Keys Cactus Barren,
3,1750,Bare Soil,1700,Barren and Outcrop Communities,1750000,,Ruderal,Ruderal,
3,1760,Exposed Rock,1700,Barren and Outcrop Communities,1760000,,Ruderal,Ruderal,
