ID,LAT,LONG
AG001,25.721,-80.27889
AG002,25.71944,-80.27778
AG003,25.676386,-80.27559
AG009,25.74381,-80.21187
AG010,25.706213,-80.260724
AG011,25.67382,-80.28421
AG012,25.64529,-80.29227
AG013,25.59919,-80.34032
AG014,25.66771,-80.38433
AG015,25.66498,-80.37402
AG016,25.74824,-80.3206
AG017,25.49978,-80.44944
AG018,25.70878,-80.28421
AG019,25.74894,-80.26372
AG020,25.68203,-80.31642
AG021,25.62905,-80.34014
AG022,25.57815,-80.35262
AG023,25.53694,-80.45355
AG024,25.44759,-80.50227
AG025,25.44095,-80.49154
AG026,25.61121,-80.30729
AG027,25.49073,-80.46165
AG028,25.62654,-80.44726
AG029,25.53657,-80.47858
AG030,25.47892,-80.43917
AG031,25.52132,-80.42139
AG032,25.4852,-80.43891
AG033,25.49503,-80.43275
AG034,25.49039,-80.45477
AG035,25.47524,-80.46213
AG036,25.6960487,-80.299
AG037,25.646124,-80.31794
AG038,25.57654,-80.36697
AG039,25.566013,-80.42893
AG040,25.506212,-80.45552
AG041,25.565513,-80.46403
AG042,25.7114,-80.41696
AG043,25.53507,-80.49349
AG044,25.679387,-80.25682
AG045,25.48538,-80.54075
AG046,25.47547,-80.46651
AG047,25.6101,-80.39702
AG048,25.533156,-80.40754
AG049,25.613919,-80.40058
AG050,25.5231608,-80.46785
