DATE,TIME,LOCATION,LAT,LONG,ID,SPECIES,SEX,SUBSTRATE TYPE,SUBSTRATE TEMP,PERCH HEIGHT (cm),PERCH WIDTH (cm),WEIGHT (g),SVL (mm),OTHER SP. PRESENT,NOTES
5/23/2018,0.432638889,UM,25.721,-80.27889,AG001,Agama,F,woodchips,31.2,0,,51.29,110.62,"Sagrei, cristatellus, carolinensis, distichus,",
5/30/2018,9:15,UM,25.71944,-80.27778,AG002,Agama,F,Tree,,42,,29.46,89.3,,
10/30/2018,0.916666667,FTBG,25.676386,-80.27559,AG003,Agama,Juv,,,,,21.5,79.35,,
11/2/2018,0.833333333,Vizcaya,25.74381,-80.21187,AG009,Agama,,,,,,,,,
12/19/2018,0.524305556,Ingram Park,25.706213,-80.260724,AG010,Agama,F,Concrete by canal,,,,12.58,70.8,,
12/19/2018,0.541666667,Red Road Canal,25.67382,-80.28421,AG011,Agama,Juv,Tree by canal,,,,3.32,49.9,,
2/9/2019,0.5625,Chapman Park,25.64529,-80.29227,AG012,Agama,M,Brick/limestone wall,,1.5,,87.28,136.5,,
2/9/2019,0.618055556,184th St,25.59919,-80.34032,AG013,Agama,F,Brick Wall,,1,,,,,Tail clip sample
2/15/2019,0.513888889,Rock Ridge Park,25.66771,-80.38433,AG014,Agama,M,Limestone Rock,,0,,80.02,149.43,,Ticks
2/15/2019,0.541666667,Ben Gamla Charter School,25.66498,-80.37402,AG015,Agama,M,Palm Tree,,2,,74.86,126.05,,
2/20/2019,0.5,24th St near Tamiami Park,25.74824,-80.3206,AG016,Agama,F,Small Palm by road,,1m,,47.49,116.93,,
2/23/2019,,Road by Modello Wayside Park,25.49978,-80.44944,AG017,Agama,M,Road (hit by car),,,,,,,Madison caught
2/24/2019,0.447916667,Metro Path/Campus,25.70878,-80.28421,AG018,Agama,F,Palm Tree,,2,,22.34,84.4,,
2/28/2019,0.416666667,Coral Gables City Hall,25.74894,-80.26372,AG019,Agama,F,Palm tree,,,,36.54,99.58,,
2/28/2019,0.489583333,Dadeland by Busway,25.68203,-80.31642,AG020,Agama,M,Tree,,3,,93.47,133.83,,
3/11/2019,0.454861111,152 St/Pizza Hut,25.62905,-80.34014,AG021,Agama,F,Tree by road,,1,,,,,
3/12/2019,11:22,Cutler Ridge Park,25.57815,-80.35262,AG022,Agama,F,Tree,,1,,24.17,86.81,,
3/12/2019,12:56,Redland Elementary,25.53694,-80.45355,AG023,Agama,F,Limestone wall,,,,51.14,104.72,,
3/14/2019,11:24,Robert is here,25.44759,-80.50227,AG024,Agama,F,Wall,,,,42.46,97.1,,
3/14/2019,12:49,Falsuo Park,25.44095,-80.49154,AG025,Agama,M,Tree,,2,,84.66,134.91,,
3/21/2019,12:00,Park by Deering,25.61121,-80.30729,AG026,Agama,F,Limestone rock,,,,47.52,108.02,,
3/17/2019,,Homestead,25.49073,-80.46165,AG027,Agama,F,,,,,25.95,88.24,,
3/30/2019,11:30,Walgreens at 152 St/ 157 Ave,25.62654,-80.44726,AG028,Agama,Juv,Shopping Sign,,,,2.21,42.46,,
3/30/2019,13:08,177 Ave/248 St,25.53657,-80.47858,AG029,Agama,F,Street light,,,,,,,TAIL CLIP
3/24/2019,,Homestead,25.47892,-80.43917,AG030,Agama,M,,,,,92.78,131.2,,Madison caught
4/11/2019,9:45,Naranja Park,25.52132,-80.42139,AG031,Agama,F,,,,,22.89,90.59,,
4/11/2019,10:50,Palmland Park,25.48520,-80.43891,AG032,Agama,F,,,,,37.73,104.41,,
4/25/2019,13:08,Leisure Lake,25.49503,-80.43275,AG033,Agama,F,Tree,,,,35.93,102.7,,
5/4/2019,14:40,"Seminole Wayside Park, Homestead",25.49039,-80.45477,AG034,Agama,F,Tree,,,,,,,Ryn caught (with Madison)
6/26/2019,12:55,Harris Field,25.47524,-80.46213,AG035,Agama,M,Tree,,,,116.7,145.7,,"Hunter caught, Leyna Recorded "
7/2/2019,9:16,Fuch's Park,25.69605,-80.299,AG036,Agama,M,Tree,,,,99.9,145.2,,Leyna
7/17/2019,9:15,Howard Drive Elementary School (Limestone wall nearby),25.64612,-80.31794,AG037,Agama,M,limestone wall,,,,75.75,128.5,,Leyna
7/17/2019,10:17,"Southland Mall, Regal parking lot",25.57654,-80.36697,AG038,Agama,M,ground/bush,,,,66.38,145.3,,Julian (by hand)
7/17/2019,10:42,Marathon gas station by Monkey Jungle,25.56601,-80.42893,AG039,Agama,F,concrete ground,,,,37.15,107.3,,Leyna
7/18/2019,9:20,South Dade Park,25.50621,-80.45552,AG040,Agama,Juv,mulch,,,,6.97,57.5,,Theresa
7/18/2019,10:45,"Railroad, 216th St",25.56551,-80.46403,AG041,Agama,Juv,dirt pile,,,,67.16,130.7,,Theresa
7/22/2019,10:43,Miccosukee Golf Course,25.71140,-80.41696,AG042,Agama,Juv,Rock,,,,2.13,27.8,,Jaclyn caught
7/24/2019,11:08,Redland Fruit and Spice Park,25.53507,-80.49349,AG043,Agama,F,Ground,,,,24.08,87.5,,Matt caught
7/31/2019,10:01,Matheson Hammock Park,25.67939,-80.25682,AG044,Agama,Juv,Wall,,,,2.01,38.2,,Theresa caught
9/6/2019,21:45,Schnebly's winery,25.48538,-80.54075,AG045,Agama,Juv,rocks,,,,1.83,41.79,,Kristin caught with Madison
5/2/2019,1:25:00 PM,Homestead library,25.47547,-80.46651,AG046,Agama,M,,,,,,,,Madison caught
,,Zoo Miami,25.61010,-80.39702,AG047,Agama,,,,,,,,,Samples from Tina at BioTech
,,Princeton,25.53316,-80.40754,AG048,Agama,,,,,,,,,"Samples from Tina's student; #'s 7, 8, 9, 10, 11"
,,Zoo Miami,25.61392,-80.40058,AG049,Agama,,,,,,,,,Agama from Steven
,,,25.52316,-80.46785,AG050,Agama,M,,,,,,,,Madison caught
6/28/2018,0.475,FTBG,25.67833,-80.275,BV002,Basilisk,F,Rock by water,,,,77.28,132.75,,
7/31/2018,0.505555556,57th Ave Canal,25.68417,-80.28444,BV009,Basilisk,F,Waterside (tree),,,,,,"Iguana, cristatellus, sagrei, carolinensis",
8/7/2018,0.403472222,AD Barnes Park,25.73946,-80.30803,BV010,Basilisk,F,grass,,,,28.43,93.75,"iguana, distichus",
9/1/2018,0.402777778,Tropical Park,25.72167,-80.32583,BV015,Basilisk,F,Tree,,1.5,0.33,37.53,106,,
9/1/2018,0.467361111,FIU,25.75374,-80.38053,BV019,Basilisk,Juv,waterside,,,,1.38,40.5,,
12/2/2018,,Robert King High Park,25.77381,-80.30873,BV021,Basilisk,Juv,Shrub,,1m,,7.95,73.51,,
